frame_index,cpu_render_ms,cpu_cross_adapter_ms,cpu_end_to_end_ms,gpu_render_ms,gpu_copy_ms,estimated_bandwidth_gbs,cross_adapter_enabled,transfer_succeeded,notes
49,1.9154,4.2385,6.1557,1.8000,3.9237,12.9603,1,1,"Transfer completed within provisional budget. | camera=viewOrigin=(3.53059, 1.5, 3.54047), jitter=(-0.347069, 0.361856)"
50,1.8880,4.2090,6.0988,1.8000,3.9237,13.0509,1,1,"Transfer completed within provisional budget. | camera=viewOrigin=(3.58678, 1.5, 3.48353), jitter=(-0.413913, 0.255852)"
51,1.9208,4.2107,6.1339,1.8000,3.9237,13.0456,1,1,"Transfer completed within provisional budget. | camera=viewOrigin=(3.64206, 1.5, 3.4257), jitter=(-0.462914, 0.131035)"
52,1.9331,4.2135,6.1486,1.8000,3.9237,13.0371,1,1,"Transfer completed within provisional budget. | camera=viewOrigin=(3.6964, 1.5, 3.36699), jitter=(-0.49196, -0.0034165)"
53,1.8957,4.2084,6.1056,1.8000,3.9237,13.0529,1,1,"Transfer completed within provisional budget. | camera=viewOrigin=(3.74979, 1.5, 3.30742), jitter=(-0.499798, -0.137617)"
54,1.8933,4.2143,6.1094,1.8000,3.9237,13.0346,1,1,"Transfer completed within provisional budget. | camera=viewOrigin=(3.80223, 1.5, 3.247), jitter=(-0.486091, -0.261699)"
55,1.8880,4.2109,6.1008,1.8000,3.9237,13.0450,1,1,"Transfer completed within provisional budget. | camera=viewOrigin=(3.85369, 1.5, 3.18576), jitter=(-0.451429, -0.366538)"
56,1.9023,4.2075,6.1116,1.8000,3.9237,13.0556,1,1,"Transfer completed within provisional budget. | camera=viewOrigin=(3.90417, 1.5, 3.12369), jitter=(-0.397307, -0.444426)"
57,1.8920,4.2509,6.1448,1.8000,3.9237,12.9224,1,1,"Transfer completed within provisional budget. | camera=viewOrigin=(3.95365, 1.5, 3.06083), jitter=(-0.326057, -0.489636)"
58,1.9115,4.2110,6.1243,1.8000,3.9237,13.0449,1,1,"Transfer completed within provisional budget. | camera=viewOrigin=(4.00211, 1.5, 2.99718), jitter=(-0.240752, -0.498843)"
59,1.8907,4.2095,6.1020,1.8000,3.9237,13.0493,1,1,"Transfer completed within provisional budget. | camera=viewOrigin=(4.04955, 1.5, 2.93277), jitter=(-0.145069, -0.471371)"
